9620B2,KAUIOKAHALOA NUI FAC APT - BLDG Q,21.307923,-157.807348
9620C,KAUIOKAHALOA NUI FAC APT - BLDG A,21.308603,-157.807493
9620H1,KAUIOKAHALOA NUI FAC APT - BLDG H,21.307333,-157.808502
9620H2,KAUIOKAHALOA NUI FAC APT - BLDG C,21.308288,-157.807649
9620H3,KAUIOKAHALOA NUI FAC APT - BLDG N,21.307593,-157.807139
9620H4,KAUIOKAHALOA NUI FAC APT - BLDG P,21.308138,-157.806801
1179,LINCOLN HALL,21.300475,-157.8142
1250,WARRIOR RECREATION CENTER,21.299019,-157.818613
1253,HALE HALAWAI,21.297818,-157.814158
1257A,FROG 1,21.297979,-157.823285
1257B,FROG 2,21.298104,-157.823285
